,Unnamed: 0.1,Unnamed: 0,Website,Connection Establishment Time,RTT,Initial Response,Latency,Page Load Time,Dependency Load Time,Page Size,IP,City,Country,WASM RTT,WASM Durations,WASM Sizes,Website Type
1526,1542,1638,spotify.com,149.440288543701,38.8040542602539,138.0,19.402027130127,3150.0,1486.0,79745.0,165.231.177.108,Tallinn,Estonia,40,2893,9106505,Entertainment Websites
1527,1543,1639,livescore.com,145.259380340576,38.8872623443604,110.0,19.4436311721802,1666.0,783.0,250847.0,165.231.177.108,Tallinn,Estonia,40,1273,2398347,Other
1528,1544,1640,ebay.com,428.979635238647,46.4136600494385,287.0,23.2068300247192,3781.0,2355.0,312235.0,165.231.177.108,Tallinn,Estonia,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,E-commerce Platforms
1529,1545,1641,pornhub.com,135.290384292603,38.860559463501,294.0,19.4302797317505,3418.0,1506.0,674636.0,165.231.177.108,Tallinn,Estonia,0,1670,5681853,Other
1530,1546,1642,ytmp3.cc,650.545835494995,41.7382717132568,222.0,20.8691358566284,2414.0,1611.0,164972.0,165.231.177.108,Tallinn,Estonia,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
1531,1547,1644,nih.gov,424.034833908081,38.1994247436523,189.0,19.0997123718262,2114.0,859.0,81225.0,165.231.177.108,Tallinn,Estonia,282,4502,6765350,Health and Medical Websites
1532,1548,1645,tiktok.com,142.104864120483,39.0651226043701,660.0,19.5325613021851,2376.0,2042.0,704236.0,165.231.177.108,Tallinn,Estonia,0,337,225018,Other
1533,1549,1646,steampowered.com,100.29935836792,39.6649837493896,42.0,19.8324918746948,1319.0,1142.0,504552.0,165.231.177.108,Tallinn,Estonia,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Other
1534,1550,1647,investopedia.com,90.703010559082,48.3214855194092,6805.0,24.1607427597046,6963.0,6956.0,147.0,165.231.177.108,Tallinn,Estonia,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Financial Websites
1535,1551,1648,cdc.gov,601.018905639648,38.9103889465332,70.0,19.4551944732666,2222.0,748.0,236811.0,165.231.177.108,Tallinn,Estonia,39,392,114120,Health and Medical Websites
1536,1552,1649,nordstrom.com,106.043100357056,39.8933887481689,180.0,19.9466943740845,459.0,458.0,207044.0,165.231.177.108,Tallinn,Estonia,42,487,424104,E-commerce Platforms
1537,1553,1650,blog.google,129.712343215942,41.3408279418945,255.0,20.6704139709473,3305.0,948.0,311294.0,165.231.177.108,Tallinn,Estonia,600,15261,20510259,Other
1538,1554,1651,cnbc.com,363.6794090271,38.6035442352295,163.0,19.3017721176147,1138.0,505.0,2312914.0,165.231.177.108,Tallinn,Estonia,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",News Websites
1539,1555,1652,indiatimes.com,99.9577045440674,39.6866798400879,58.0,19.8433399200439,6218.0,464.0,815256.0,165.231.177.108,Tallinn,Estonia,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
1540,1556,1653,roblox.com,294.484615325928,42.3164367675781,239.0,21.1582183837891,1795.0,1490.0,94219.0,165.231.177.108,Tallinn,Estonia,41,345,187846,Gaming Websites
1541,1557,1654,flashscore.com,141.324281692505,40.4303073883057,99.0,20.2151536941528,1199.0,919.0,298162.0,165.231.177.108,Tallinn,Estonia,0,306,292506,Other
1542,1558,1655,thepiratebay.org,105.551481246948,39.1583442687988,901.0,19.5791721343994,1984.0,1852.0,4890.0,165.231.177.108,Tallinn,Estonia,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Other
1543,1559,1656,adobe.com,111.405372619629,46.067476272583,70.0,23.0337381362915,1617.0,1028.0,317838.0,165.231.177.108,Tallinn,Estonia,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
1544,1560,1657,speedtest.net,131.012201309204,39.3993854522705,207.0,19.6996927261353,2224.0,696.0,153395.0,165.231.177.108,Tallinn,Estonia,125,3240,6161391,Other
1545,1561,1658,ssyoutube.com,88.876485824585,38.8698577880859,160.0,19.434928894043,1547.0,786.0,30024.0,165.231.177.108,Tallinn,Estonia,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
1546,1562,1659,unsplash.com,130.948543548584,39.0615463256836,45.0,19.5307731628418,1220.0,987.0,374636.0,165.231.177.108,Tallinn,Estonia,86,2224,4370648,Other
1547,1563,1660,lowes.com,,,,,,,,165.231.177.108,Tallinn,Estonia,,,,Other
1548,1564,1661,vocabulary.com,91.4630889892578,41.3632392883301,448.0,20.681619644165,2126.0,1556.0,44538.0,165.231.177.108,Tallinn,Estonia,0,2350,7473630,Other
1549,1565,1662,mcdonalds.com,287.91356086731,38.8195514678955,62.0,19.4097757339478,2401.0,1283.0,272580.0,165.231.177.108,Tallinn,Estonia,240,1966,3343265,Other
1550,1566,1663,deepl.com,114.995718002319,39.3557548522949,77.0,19.6778774261475,1283.0,984.0,227803.0,165.231.177.108,Tallinn,Estonia,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Other
1551,1567,1665,bloomberg.com,306.235551834106,39.0691757202148,59.0,19.5345878601074,1102.0,566.0,14423.0,165.231.177.108,Tallinn,Estonia,42,450,963852,Financial Websites
1552,1568,1666,forbes.com,125.954627990723,41.1784648895264,265.0,20.5892324447632,1507.0,946.0,595938.0,165.231.177.108,Tallinn,Estonia,41,371,63706,Financial Websites
1553,1569,1667,booking.com,147.18508720398,38.3646488189697,411.0,19.1823244094849,1598.0,1468.0,575614.0,165.231.177.108,Tallinn,Estonia,0,366,305220,Other
1554,1570,1668,xhamster.com,83.5447311401367,38.4361743927002,320.0,19.2180871963501,2992.0,1597.0,294072.0,165.231.177.108,Tallinn,Estonia,0,1659,4499591,Other
1555,1571,1669,xe.com,86.8206024169922,39.3316745758057,54.0,19.6658372879028,1403.0,968.0,469035.0,165.231.177.108,Tallinn,Estonia,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
1556,1572,1671,coinmarketcap.com,86.5242481231689,38.6781692504883,58.0,19.3390846252441,1585.0,1133.0,274505.0,165.231.177.108,Tallinn,Estonia,184,2212,2089061,Financial Websites
1557,1573,1672,spanishdict.com,284.64412689209,40.9204959869385,191.0,20.4602479934692,2052.0,399.0,219522.0,165.231.177.108,Tallinn,Estonia,44,3250,2863645,Other
1558,1574,1673,goodhousekeeping.com,85.7710838317871,41.3863658905029,43.0,20.6931829452515,1078.0,638.0,421635.0,165.231.177.108,Tallinn,Estonia,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
1559,1575,1674,dominos.com,99.1065502166748,40.2581691741943,264.0,20.1290845870972,2740.0,427.0,47710.0,165.231.177.108,Tallinn,Estonia,38,1389,4774371,Other
1560,1577,1676,pexels.com,82.9784870147705,39.031982421875,60.0,19.5159912109375,1799.0,900.0,260247.0,165.231.177.108,Tallinn,Estonia,293,3079,5668494,Other
1561,1578,1677,poki.com,85.6118202209473,38.4683609008789,86.0,19.2341804504395,21626.0,10464.0,279291.0,165.231.177.108,Tallinn,Estonia,3977,27771,7717526,Gaming Websites
1562,1579,1678,caranddriver.com,93.0390357971191,39.5567417144775,43.0,19.7783708572388,1395.0,676.0,457787.0,165.231.177.108,Tallinn,Estonia,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
1563,1580,1679,github.com,127.560377120972,40.6665802001953,66.0,20.3332901000977,1069.0,927.0,234759.0,165.231.177.108,Tallinn,Estonia,40,261,70279,Other
1564,1581,1680,hotels.com,97.2702503204346,39.3812656402588,383.0,19.6906328201294,2832.0,2001.0,919483.0,165.231.177.108,Tallinn,Estonia,41,415,75803,Other
1565,1582,1681,globo.com,564.04972076416,42.492151260376,332.0,21.246075630188,12660.0,3653.0,1038694.0,165.231.177.108,Tallinn,Estonia,39,5558,14162320,Other
1566,1583,1682,theguardian.com,86.8253707885742,84.4056606292725,42.0,42.2028303146362,1537.0,503.0,1243500.0,165.231.177.108,Tallinn,Estonia,40,310,156875,News Websites
1567,1584,1684,wellsfargo.com,98.2260704040527,39.034366607666,40.0,19.517183303833,2129.0,1154.0,131734.0,165.231.177.108,Tallinn,Estonia,0,710,2369161,Other
1568,1585,1685,expedia.com,161.158800125122,38.8712882995605,495.0,19.4356441497803,12241.0,2365.0,1382530.0,165.231.177.108,Tallinn,Estonia,81,4537,12126209,Other
1569,1586,1686,realtor.com,577.314615249634,39.7200584411621,45.0,19.8600292205811,318.0,317.0,821.0,165.231.177.108,Tallinn,Estonia,42,236,43401,Other
1570,1587,1687,crazygames.com,97.9423522949219,38.8154983520508,56.0,19.4077491760254,10894.0,876.0,667180.0,165.231.177.108,Tallinn,Estonia,2643,18993,12475181,Gaming Websites
1571,1588,1688,digitaltrends.com,96.7063903808594,40.4820442199707,45.0,20.2410221099854,6612.0,2611.0,646501.0,165.231.177.108,Tallinn,Estonia,123,7267,14523058,Other
1572,1589,1689,nba.com,395.753383636475,38.4399890899658,1037.0,19.2199945449829,3957.0,1898.0,487205.0,165.231.177.108,Tallinn,Estonia,0,1084,2989452,Other
1573,1590,1690,nintendo.com,523.65517616272,39.5350456237793,43.0,19.7675228118896,1508.0,995.0,767294.0,165.231.177.108,Tallinn,Estonia,84,644,330444,Gaming Websites
1574,1591,1691,akc.org,134.647607803345,38.5351181030273,48.0,19.2675590515137,12537.0,502.0,600987.0,165.231.177.108,Tallinn,Estonia,158,32805,43520056,Other
1575,1592,1692,fast.com,188.901901245117,38.3844375610352,48.0,19.1922187805176,3184.0,1487.0,25627.0,165.231.177.108,Tallinn,Estonia,77,2538,9177408,Other
1576,1593,1693,decathlon.com,95.6583023071289,39.0603542327881,57.0,19.530177116394,2951.0,1213.0,1189703.0,165.231.177.108,Tallinn,Estonia,79,12932,28468598,Other
1577,1594,1695,stackoverflow.com,127.658367156982,39.3154621124268,155.0,19.6577310562134,1277.0,1177.0,175952.0,165.231.177.108,Tallinn,Estonia,680,3621,612340,Other
1578,1595,1696,calculator.net,412.355422973633,39.116382598877,143.0,19.5581912994385,2789.0,2485.0,11466.0,165.231.177.108,Tallinn,Estonia,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Other
1579,1596,1698,www2.hm.com,97.0275402069092,38.5851860046387,82.0,19.2925930023193,1232.0,937.0,46958.0,165.231.177.108,Tallinn,Estonia,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
1580,1597,1699,grubhub.com,86.3685607910156,39.3426418304443,41.0,19.6713209152222,908.0,330.0,2701.0,165.231.177.108,Tallinn,Estonia,40,261,78105,Other
1581,1598,1700,google.com,90.937614440918,41.8903827667236,130.0,20.9451913833618,3877.0,986.0,197113.0,85.202.81.200,Helsinki,Finland,157,3578,12237524,Other
1582,1599,1701,facebook.com,119.350910186768,40.1201248168945,236.0,20.0600624084473,2126.0,1775.0,132840.0,85.202.81.200,Helsinki,Finland,40,8812,40273933,Social Media Sites
1583,1600,1702,amazon.com,441.977262496948,41.5153503417969,268.0,20.7576751708984,2416.0,966.0,819805.0,85.202.81.200,Helsinki,Finland,39,351,158204,E-commerce Platforms
1584,1601,1703,imdb.com,445.069551467896,40.5037403106689,1508.0,20.2518701553345,4557.0,2616.0,695881.0,85.202.81.200,Helsinki,Finland,43,161,3667,Entertainment Websites
1585,1602,1704,apple.com,99.240779876709,40.2779579162598,92.0,20.1389789581299,2333.0,638.0,257208.0,85.202.81.200,Helsinki,Finland,42,274,86533,Other
1586,1603,1705,merriam-webster.com,89.9481773376465,42.8318977355957,66.0,21.4159488677979,2951.0,611.0,266495.0,85.202.81.200,Helsinki,Finland,167,8774,14575804,Educational Websites
1587,1604,1706,pinterest.com,89.1530513763428,51.414966583252,278.0,25.707483291626,967.0,961.0,260253.0,85.202.81.200,Helsinki,Finland,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Social Media Sites
1588,1605,1707,yelp.com,141.213178634644,39.5438671112061,1032.0,19.771933555603,2614.0,2497.0,129874.0,85.202.81.200,Helsinki,Finland,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Other
1589,1606,1708,tripadvisor.com,,,,,,,,85.202.81.200,Helsinki,Finland,,,,Other
1590,1607,1709,wiktionary.org,176.170825958252,41.1255359649658,99.0,20.5627679824829,477.0,476.0,61262.0,85.202.81.200,Helsinki,Finland,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
1591,1608,1710,dictionary.com,238.792419433594,58.9306354522705,49.0,29.4653177261353,2002.0,665.0,205823.0,85.202.81.200,Helsinki,Finland,63,3316,5193382,Educational Websites
1592,1609,1711,yahoo.com,457.509756088257,50.8134365081787,111.0,25.4067182540894,2497.0,2400.0,44707.0,85.202.81.200,Helsinki,Finland,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
1593,1610,1712,cambridge.org,152.251958847046,40.7881736755371,158.0,20.3940868377686,1478.0,772.0,285555.0,85.202.81.200,Helsinki,Finland,0,486,586586,Educational Websites
1594,1611,1713,britannica.com,433.595180511475,42.7737236022949,306.0,21.3868618011475,14445.0,868.0,153639.0,85.202.81.200,Helsinki,Finland,163,7556,16760660,Educational Websites
1595,1612,1714,weather.com,101.490259170532,40.6482219696045,1013.0,20.3241109848022,13769.0,1602.0,928794.0,85.202.81.200,Helsinki,Finland,42,1948,6285032,Other
1597,1614,1716,walmart.com,86.2545967102051,41.3906574249268,97.0,20.6953287124634,2271.0,281.0,179546.0,85.202.81.200,Helsinki,Finland,95,2155,3396510,E-commerce Platforms
1598,1615,1717,espn.com,94.1405296325684,41.6836738586426,201.0,20.8418369293213,3113.0,2247.0,1104187.0,85.202.81.200,Helsinki,Finland,42,633,1404574,Other
1599,1616,1718,linkedin.com,151.262521743774,40.2920246124268,233.0,20.1460123062134,613.0,611.0,24571.0,85.202.81.200,Helsinki,Finland,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Social Media Sites
1600,1617,1719,homedepot.com,90.6138420104981,40.3404235839844,49.0,20.1702117919922,348.0,348.0,227.0,85.202.81.200,Helsinki,Finland,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
1601,1618,1720,espncricinfo.com,768.732786178589,68.4123039245606,55.0,34.2061519622803,1898.0,1146.0,567622.0,85.202.81.200,Helsinki,Finland,82,926,1152064,Other
1602,1619,1721,craigslist.org,454.765558242798,40.5173301696777,157.0,20.2586650848389,2553.0,1424.0,52186.0,85.202.81.200,Helsinki,Finland,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
1603,1620,1722,xnxx.com,233.789920806885,40.0261878967285,134.0,20.0130939483643,1535.0,1084.0,203721.0,85.202.81.200,Helsinki,Finland,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Other
1604,1621,1723,gsmarena.com,150.842666625977,41.1140918731689,65.0,20.5570459365845,1878.0,1006.0,66051.0,85.202.81.200,Helsinki,Finland,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
1605,1622,1724,mayoclinic.org,512.916088104248,40.7805442810059,232.0,20.3902721405029,6667.0,987.0,557952.0,85.202.81.200,Helsinki,Finland,42,5601,12681404,Health and Medical Websites
1606,1623,1725,cricbuzz.com,444.458723068237,57.5006008148193,53.0,28.7503004074097,3082.0,367.0,141211.0,85.202.81.200,Helsinki,Finland,144,3719,10063430,Other
1607,1624,1726,timeanddate.com,302.37889289856,40.6317710876465,83.0,20.3158855438232,1471.0,800.0,68033.0,85.202.81.200,Helsinki,Finland,0,1072,2398347,Other
1608,1625,1727,webmd.com,421.352386474609,42.1319007873535,228.0,21.0659503936768,1576.0,993.0,292345.0,85.202.81.200,Helsinki,Finland,42,257,52302,Health and Medical Websites
1609,1626,1728,thesaurus.com,211.07816696167,43.4801578521729,43.0,21.7400789260864,2928.0,699.0,203194.0,85.202.81.200,Helsinki,Finland,82,3827,5249196,Other
1610,1627,1729,whatsapp.com,132.663011550903,44.2752838134766,718.0,22.1376419067383,4644.0,2292.0,279518.0,85.202.81.200,Helsinki,Finland,208,5286,7827239,Other
1611,1628,1730,rottentomatoes.com,391.627550125122,40.9214496612549,62.0,20.4607248306274,6035.0,1088.0,530549.0,85.202.81.200,Helsinki,Finland,125,1037,1451687,Entertainment Websites
1612,1629,1731,bbc.com,162.163972854614,39.6177768707275,45.0,19.8088884353638,2257.0,1419.0,226828.0,85.202.81.200,Helsinki,Finland,39,344,90414,News Websites
1613,1630,1732,bestbuy.com,139.443397521973,40.9271717071533,533.0,20.4635858535767,1200.0,958.0,6928.0,85.202.81.200,Helsinki,Finland,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",E-commerce Platforms
1614,1631,1733,healthline.com,91.3052558898926,40.3680801391602,397.0,20.1840400695801,1859.0,988.0,187479.0,85.202.81.200,Helsinki,Finland,0,156,90657,Health and Medical Websites
1615,1632,1734,netflix.com,185.247659683228,41.3508415222168,290.0,20.6754207611084,4006.0,2969.0,478848.0,85.202.81.200,Helsinki,Finland,122,12914,55010468,Entertainment Websites
1616,1633,1735,indeed.com,89.876651763916,40.7748222351074,149.0,20.3874111175537,2279.0,1380.0,192122.0,85.202.81.200,Helsinki,Finland,42,365,271088,Other
1617,1634,1736,thefreedictionary.com,619.924068450928,40.2545928955078,212.0,20.1272964477539,3397.0,1086.0,1423411.0,85.202.81.200,Helsinki,Finland,11,3843,10457816,Educational Websites
1618,1635,1737,xvideos.com,206.892490386963,41.3181781768799,137.0,20.6590890884399,2602.0,1188.0,134952.0,85.202.81.200,Helsinki,Finland,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Other
1619,1636,1738,spotify.com,96.8475341796875,41.6934490203857,104.0,20.8467245101929,3927.0,1786.0,79409.0,85.202.81.200,Helsinki,Finland,108,2961,8198434,Entertainment Websites
1620,1637,1739,livescore.com,91.6182994842529,41.1810874938965,42.0,20.5905437469482,1648.0,610.0,250848.0,85.202.81.200,Helsinki,Finland,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
1621,1638,1740,ebay.com,385.235786437988,40.8718585968018,426.0,20.4359292984009,2185.0,1166.0,313787.0,85.202.81.200,Helsinki,Finland,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",E-commerce Platforms
1622,1639,1741,pornhub.com,147.109746932983,42.6194667816162,269.0,21.3097333908081,2285.0,1130.0,669703.0,85.202.81.200,Helsinki,Finland,0,3913,9894227,Other
1623,1640,1742,ytmp3.cc,936.720371246338,40.2121543884277,349.0,20.1060771942139,3601.0,2330.0,165109.0,85.202.81.200,Helsinki,Finland,0,3349,7766136,Other
1624,1641,1744,nih.gov,467.771291732788,41.2430763244629,164.0,20.6215381622314,6403.0,754.0,81225.0,85.202.81.200,Helsinki,Finland,210,6363,9395276,Health and Medical Websites
1625,1642,1745,tiktok.com,89.90478515625,42.8323745727539,858.0,21.416187286377,2577.0,1849.0,746933.0,85.202.81.200,Helsinki,Finland,82,1435,1125666,Other
1626,1643,1746,steampowered.com,98.886251449585,41.2530899047852,50.0,20.6265449523926,2224.0,1029.0,515676.0,85.202.81.200,Helsinki,Finland,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Other
1627,1644,1747,investopedia.com,143.096446990967,46.9918251037598,6242.0,23.4959125518799,6406.0,6400.0,147.0,85.202.81.200,Helsinki,Finland,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Financial Websites
1628,1645,1748,cdc.gov,648.925065994263,41.9230461120606,86.0,20.9615230560303,2125.0,923.0,236811.0,85.202.81.200,Helsinki,Finland,40,241,52858,Health and Medical Websites
1629,1646,1749,nordstrom.com,103.894710540771,39.9169921875,228.0,19.95849609375,611.0,610.0,215354.0,85.202.81.200,Helsinki,Finland,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,E-commerce Platforms
1630,1647,1750,blog.google,105.514764785767,39.7403240203857,220.0,19.8701620101929,2928.0,789.0,311293.0,85.202.81.200,Helsinki,Finland,582,15962,22283182,Other
1631,1648,1751,cnbc.com,386.016368865967,40.1721000671387,180.0,20.0860500335693,1077.0,560.0,2312730.0,85.202.81.200,Helsinki,Finland,0,147,47939,News Websites
1632,1649,1752,indiatimes.com,119.51208114624,40.6708717346191,65.0,20.3354358673096,6448.0,470.0,815727.0,85.202.81.200,Helsinki,Finland,319,23918,43642737,Other
1633,1650,1753,roblox.com,143.465757369995,46.4389324188232,218.0,23.2194662094116,2063.0,1527.0,95598.0,85.202.81.200,Helsinki,Finland,43,343,187846,Gaming Websites
1634,1651,1754,flashscore.com,91.6829109191895,41.0568714141846,77.0,20.5284357070923,1035.0,831.0,298162.0,85.202.81.200,Helsinki,Finland,117,1270,1363741,Other
1635,1652,1755,thepiratebay.org,107.539176940918,40.5662059783936,2044.0,20.2831029891968,3285.0,3086.0,4890.0,85.202.81.200,Helsinki,Finland,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
1636,1653,1756,adobe.com,94.6645736694336,42.8993701934814,58.0,21.4496850967407,2130.0,937.0,317586.0,85.202.81.200,Helsinki,Finland,44,324,189462,Other
1637,1654,1757,speedtest.net,131.973743438721,40.7190322875977,165.0,20.3595161437988,3165.0,806.0,153760.0,85.202.81.200,Helsinki,Finland,95,5122,13712685,Other
1638,1655,1758,ssyoutube.com,91.3431644439697,40.6661033630371,153.0,20.3330516815186,1577.0,751.0,30024.0,85.202.81.200,Helsinki,Finland,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
1639,1656,1759,unsplash.com,198.015689849854,40.9421920776367,65.0,20.4710960388184,2349.0,981.0,377555.0,85.202.81.200,Helsinki,Finland,16,1591,4656880,Other
1640,1657,1760,lowes.com,,,,,,,,85.202.81.200,Helsinki,Finland,,,,Other
1641,1658,1761,vocabulary.com,101.152181625366,40.9834384918213,464.0,20.4917192459106,2235.0,1630.0,45283.0,85.202.81.200,Helsinki,Finland,0,3192,8968356,Other
1642,1659,1762,mcdonalds.com,294.706106185913,40.4424667358398,70.0,20.2212333679199,2470.0,1391.0,272696.0,85.202.81.200,Helsinki,Finland,40,988,3170830,Other
1643,1660,1763,deepl.com,115.162134170532,41.1367416381836,78.0,20.5683708190918,1408.0,1008.0,227679.0,85.202.81.200,Helsinki,Finland,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Other
1644,1661,1765,bloomberg.com,314.959049224854,53.3595085144043,42.0,26.6797542572021,1248.0,623.0,14423.0,85.202.81.200,Helsinki,Finland,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Financial Websites
1645,1662,1766,forbes.com,200.507402420044,41.104793548584,67.0,20.552396774292,1604.0,934.0,596432.0,85.202.81.200,Helsinki,Finland,78,467,61995,Financial Websites
1646,1663,1767,booking.com,177.224397659302,44.0077781677246,298.0,22.0038890838623,1367.0,1260.0,566576.0,85.202.81.200,Helsinki,Finland,40,149,3561,Other
1647,1664,1768,xhamster.com,102.043390274048,40.712833404541,358.0,20.3564167022705,3218.0,1891.0,327822.0,85.202.81.200,Helsinki,Finland,0,914,3297371,Other
1648,1665,1769,xe.com,87.8314971923828,40.3060913085938,54.0,20.1530456542969,1308.0,1042.0,433711.0,85.202.81.200,Helsinki,Finland,81,1470,4884786,Other
1649,1666,1771,coinmarketcap.com,87.672233581543,40.0948524475098,56.0,20.0474262237549,1370.0,1035.0,274265.0,85.202.81.200,Helsinki,Finland,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Financial Websites
1650,1667,1772,spanishdict.com,292.256593704224,41.4259433746338,192.0,20.7129716873169,1433.0,419.0,266865.0,85.202.81.200,Helsinki,Finland,48,2036,3144896,Other
1651,1668,1773,goodhousekeeping.com,199.970006942749,43.7631607055664,69.0,21.8815803527832,1105.0,615.0,421742.0,85.202.81.200,Helsinki,Finland,40,730,1589929,Other
1652,1669,1774,dominos.com,89.9193286895752,68.9208507537842,250.0,34.4604253768921,3272.0,435.0,47710.0,85.202.81.200,Helsinki,Finland,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
1653,1671,1776,pexels.com,104.20298576355,40.5099391937256,122.0,20.2549695968628,1320.0,983.0,145405.0,85.202.81.200,Helsinki,Finland,236,2763,6821446,Other
1654,1672,1777,poki.com,98.3457565307617,40.2383804321289,89.0,20.1191902160645,1712.0,407.0,279291.0,85.202.81.200,Helsinki,Finland,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Gaming Websites
1655,1673,1778,caranddriver.com,93.142032623291,40.1864051818848,70.0,20.0932025909424,1051.0,732.0,457783.0,85.202.81.200,Helsinki,Finland,88,1120,1753615,Other
1656,1674,1779,github.com,136.904954910278,41.9661998748779,75.0,20.983099937439,1060.0,908.0,234669.0,85.202.81.200,Helsinki,Finland,41,263,70279,Other
1657,1675,1780,hotels.com,165.66801071167,40.6451225280762,412.0,20.3225612640381,2670.0,2046.0,914259.0,85.202.81.200,Helsinki,Finland,41,408,75803,Other
1658,1676,1781,globo.com,626.079082489014,41.9449806213379,349.0,20.9724903106689,26759.0,4824.0,1039964.0,85.202.81.200,Helsinki,Finland,164,6786,18963466,Other
1659,1677,1782,theguardian.com,86.7366790771484,40.499210357666,67.0,20.249605178833,1622.0,504.0,1238489.0,85.202.81.200,Helsinki,Finland,3393,20809,3524476,News Websites
1660,1678,1784,wellsfargo.com,102.19669342041,40.1017665863037,47.0,20.0508832931519,1918.0,1050.0,132008.0,85.202.81.200,Helsinki,Finland,0,980,3879300,Other
1661,1679,1785,expedia.com,99.1454124450684,40.485143661499,602.0,20.2425718307495,6884.0,2446.0,1491629.0,85.202.81.200,Helsinki,Finland,41,6078,16082387,Other
1662,1680,1786,realtor.com,601.954221725464,40.1358604431152,589.0,20.0679302215576,11163.0,1302.0,965840.0,85.202.81.200,Helsinki,Finland,0,82235,40656266,Other
1663,1681,1787,crazygames.com,99.9982357025147,40.2705669403076,62.0,20.1352834701538,1279.0,728.0,596857.0,85.202.81.200,Helsinki,Finland,83,5064,7795573,Gaming Websites
1664,1682,1788,digitaltrends.com,96.6646671295166,40.0691032409668,47.0,20.0345516204834,6671.0,653.0,649114.0,85.202.81.200,Helsinki,Finland,133,12520,17554090,Other
1665,1683,1789,nba.com,426.436424255371,42.0005321502686,1252.0,21.0002660751343,7276.0,2033.0,635042.0,85.202.81.200,Helsinki,Finland,0,2645,7473630,Other
1666,1684,1790,nintendo.com,558.362245559692,40.637731552124,71.0,20.318865776062,2065.0,978.0,767172.0,85.202.81.200,Helsinki,Finland,39,195,21663,Gaming Websites
